name,prediction,confidence,critic_score,critic_grade,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,key_concern,would_rerun_help
dianne talarico,same,high,17,PLAUSIBLE,pass,pass,weak,pass,pass,weak,pass,pass,pass,weak,"The reasoning shows strong evidence for the career move from Canton to Burlingame, but there's a gap in verifying the intermediate Santa Monica-Malibu position (2006-2008). The LA Times confirms the departure from Canton for Santa Monica-Malibu in 2006, and Patch.com confirms Burlingame start in 2008, but the actual tenure and departure from Santa Monica-Malibu isn't fully documented.",True
dominic mucci,same,high,10,QUESTIONABLE,pass,pass,weak,weak,fail,pass,fail,weak,fail,weak,"LinkedIn profile is cited as evidence but shows no connection to either school district, invalidating a key piece of evidence and making the high confidence conclusion unsupported.",True
donald achelpohl,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-executed disambiguation with strong evidence and appropriate confidence.,False
donald carlisle,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - this is a well-documented case with strong evidence.,False
donald wheeler,same,high,9,SUSPECT,pass,weak,weak,fail,fail,pass,pass,weak,fail,fail,"The reasoning demonstrates classic overconfidence bias - treating circumstantial timeline alignment and district documents as definitive proof. High confidence requires 2+ Tier 1-2 independent sources, but this case only has one Tier 1 source (hiring announcement) supplemented by Tier 2-3 materials and timeline inference. The conclusion may be correct, but the evidence doesn't justify the confidence level.",True
doreen fuller,same,high,13,QUESTIONABLE,pass,pass,weak,pass,pass,pass,pass,fail,fail,fail,"The reasoning correctly identifies that Position 2 is actually 2011-2012, not 2009 as stated in the record, but then incorrectly concludes this proves they are the same person. This is a logical leap - the evidence shows a 2+ year gap between positions, not a continuous career progression. The prediction should be 'different' or at best 'uncertain' given the timeline mismatch.",True
doris hope jackson,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The main concern is the lack of documented search strategy, but the evidence itself is strong and well-corroborated.",False
doug miller,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"The evidence is strong and well-corroborated, but the confidence might be slightly high given that most evidence appears to be Tier 2 rather than Tier 1. However, the volume of independent sources and specific details (email address, quotes, resignation timing) provide strong support.",False
douglas adams,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning appears sound overall, with strong evidence supporting the conclusion. The main area that could be strengthened is more explicit documentation of the systematic search strategy across all 4 phases.",False
douglas domeracki,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor concern about lack of explicit search strategy documentation, but evidence quality is very strong.",False
douglas van zyl,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, direct evidence",False
duane bark,same,high,16,PLAUSIBLE,pass,pass,weak,fail,pass,pass,pass,pass,weak,pass,"Evidence tier misclassification - obituaries incorrectly labeled as Tier 1 evidence when they should be Tier 2, potentially inflating confidence level",True
duane bennett,same,high,13,QUESTIONABLE,pass,weak,weak,fail,weak,pass,pass,pass,fail,pass,"Evidence tier misclassification and overconfident assessment. The obituary is incorrectly classified as Tier 1 evidence when it should be Tier 2, leading to high confidence that may not be justified by the actual evidence strength.",True
dudley hume,same,high,5,SUSPECT,pass,pass,weak,fail,fail,fail,fail,fail,fail,fail,"Complete disconnect between claimed evidence and actual URLs. The reasoning asserts strong evidence from multiple sources, but none of the provided URLs actually contain any information about Dudley Hume as a superintendent in either district.",True
dwight pfennig,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,No significant concerns - this is a well-documented case with strong evidence,False
earl kim,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is very strong overall. The only minor weakness is not explicitly documenting the 4-phase search process, but this is offset by the quality and quantity of evidence found.",False
eddie johnson,same,high,13,QUESTIONABLE,pass,weak,weak,weak,weak,pass,pass,pass,fail,weak,"The reasoning makes a logical leap from \""Eddie Johnson exists at both districts\"" to \""it's the same Eddie Johnson\"" without explicit evidence connecting the two positions. High confidence is overcalibrated given the lack of Tier 1 transition evidence.",True
elie bracy,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor documentation issue: The search strategy isn't explicitly structured according to the 4-phase framework, though the evidence suggests comprehensive searching was conducted.",False
emin cavusoglu,same,high,13,QUESTIONABLE,pass,pass,weak,weak,weak,weak,pass,weak,weak,weak,"The reasoning claims full verification of Emin Cavusoglu as superintendent at both districts, but the evidence only definitively shows the Harmony role and a general LISA Academy connection without confirming the specific superintendent position at Lisa Academy North Charter.",True
emin cavusoglu,same,high,17,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,pass,pass,"Timeline inconsistency between Vice Principal role (2006-2008) and Superintendent role (2008-2010) at same district lacks explanation, creating a logical gap in the career progression narrative.",False
eric becoats,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,pass,pass,"Timeline discrepancy between stated position dates (2010-2012) and actual evidence (resigned December 2013) suggests potential data quality issue, though doesn't change the core conclusion about same person.",False
eric knost,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is an exemplary disambiguation case with strong evidence and proper methodology.,False
eric witherspoon,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-documented case with multiple strong sources explicitly confirming the career transition.,False
esperanza zendejas,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is very strong overall. The only minor weakness is not explicitly documenting the 4-phase search strategy, though the evidence suggests comprehensive research was conducted.",False
evelyn browne,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,weak,pass,pass,pass,"Minor concern about one URL being a generic download link rather than specific document content, but overall evidence appears strong and well-documented.",False
fran thoele,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The disambiguation appears sound with strong multi-source corroboration.,False
francisco duran,same,high,14,PLAUSIBLE,pass,pass,weak,pass,fail,weak,pass,pass,fail,pass,"The prediction relies on a single source (Arlington bio) for high confidence determination, violating the corroboration requirement. While the Arlington bio explicitly mentions Trenton, there's no independent verification from Trenton sources or additional corroborating evidence to support high confidence.",True
frank alvarez,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - reasoning is thorough and well-supported,False
frank harwood,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found. The disambiguation is well-supported with multiple independent sources showing clear career progression.,False
frank petruzielo,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor concern about incomplete documentation of search phases, but overall very strong disambiguation with excellent evidence.",False
franzy fleck,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,weak,pass,"The main concern is the lack of explicit documentation for the 2012-2014 Burbank tenure. While the Illinois Report Card is cited, it's unclear whether this source actually provides historical data back to 2012-2014 or only shows current/recent data. The 2015-2016 gap remains unexplained, and there's no mention of archival searches to verify the earlier Burbank period despite it being 10+ years old. This creates a small evidentiary gap that makes 'high' confidence potentially overconfident.",False
frederick clarke,same,high,5,SUSPECT,pass,weak,fail,weak,fail,weak,fail,fail,fail,fail,"The reasoning makes claims about a career trajectory connecting Albion and Manara Academy, but the provided evidence URLs mostly concern Rochester, MI - an intermediate position not in the original question. There's insufficient direct evidence that the same Frederick Clarke held both the Albion (2008) and Manara Academy (2016-2019) positions.",True
garry jameson,same,high,9,SUSPECT,pass,pass,weak,fail,fail,weak,pass,weak,fail,fail,"The reasoning overstates confidence with insufficient evidence - only 1 true Tier 1 source and a newspaper ad over-classified as Tier 1, with a 14-year gap and no verification of career continuity between the two positions.",True
gary battles,same,high,8,SUSPECT,pass,pass,fail,weak,fail,pass,weak,fail,fail,fail,"The reasoning conflates two different school districts - 'West Nodaway Valley' (mentioned in obituary) and 'West Nodaway Co. R-I' (the actual position). These appear to be separate districts, making the 'same' prediction potentially incorrect.",True
gary mathews,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,pass,pass,"Minor timeline discrepancy between position record (2003) and resume (2001-2002) for Rockwood tenure, but this doesn't fundamentally weaken the strong evidence showing it's the same person.",False
gary mathews,same,high,16,PLAUSIBLE,pass,pass,weak,weak,pass,pass,weak,pass,pass,weak,"The resume evidence is hosted on a Louisiana news organization's website rather than being directly from Gary Mathews or his official channels, raising questions about document authenticity and proper attribution.",True
gary richards,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning appears sound overall, but the main concern is whether the 2022 Brandon School District letter actually contains the exact quote attributed to Dr. Richards about working in Dryden for three years. This direct confirmation is critical to the high confidence conclusion.",False
geoffrey gordon,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning appears thorough and well-supported.,False
geoffrey gordon,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The evidence is exceptionally strong with explicit connections between both positions in multiple independent sources.,False
geoffrey gordon,same,high,15,PLAUSIBLE,pass,pass,pass,weak,weak,pass,weak,pass,weak,weak,"The evidence quality is mixed - while the Virginia Magazine Class Notes appears to be strong evidence, some of the cited URLs (particularly the NY Senate legislation and the North Jersey News article about administrative leave) don't clearly support the career progression claims. The high confidence rating may be overstated given that not all sources directly corroborate the specific assertion about the Port Washington to Riverdale transition.",True
geoffrey gordon,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is generally sound but could be more explicit about the systematic search process across all 4 phases. The name variation between ""Geoffrey N. Gordon"" and ""Geoffrey Gordon"" is well-explained but could benefit from additional documentation of this being the same individual.",False
george griffith,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The search strategy methodology is not explicitly documented, though the evidence found suggests thorough investigation across multiple source types.",False
george griffith,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified. The reasoning appears sound with strong corroborating evidence across multiple independent sources.,False
george steffen,same,high,6,SUSPECT,pass,pass,fail,fail,fail,fail,pass,fail,fail,fail,"The 1995 Chicago Tribune article only confirms George Steffen was superintendent in 1995, not 2003. There's an 8-year evidentiary gap with no proof he was still at Prairie Grove in 2003. Additionally, no sources were found connecting the two positions - no hiring announcement, transition news, or career history showing the move from Illinois to Wisconsin. High confidence is unjustified without evidence of career continuity or transition.",True
george zimmer,same,high,8,SUSPECT,pass,pass,weak,fail,fail,weak,pass,fail,fail,fail,"The key concern is that the primary source ('The Learning Brain' website) appears to be confused about which Richmond School District is being discussed, conflating the Wisconsin district with an Illinois district. The statement claims George Zimmer served at 'Richmond School District located in Richmond, Illinois' - but this doesn't match the position being verified (Richmond School District in Wisconsin). This fundamental confusion invalidates the 'definitive' Tier 1 evidence and suggests the sources may actually be pointing to different people or different career paths.",True
gerald hill,same,high,11,QUESTIONABLE,pass,pass,weak,pass,pass,fail,pass,fail,fail,fail,"The reasoning contains a critical logical error by misinterpreting the retirement announcement. It states Dr. Hill spent ""sixteen years as the superintendent of Community Consolidated School District 146 and Glenview School District 34"" (meaning 16 years TOTAL across both districts), but the reasoning treats this as 16 years at District 34 alone. Additionally, there's a timeline discrepancy between the position record (2004-2011) and the evidence suggesting 2004-2012.",True
greg mikulich,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - this appears to be a well-documented case with strong evidence supporting the prediction.,False
greg rasmussen,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor weakness in not explicitly documenting the 4-phase search strategy, but evidence shows thorough investigation was conducted.",False
gregory thornton,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,weak,pass,pass,"Timeline discrepancy between position dates and reasoning text, though this doesn't appear to affect the core conclusion that it's the same person.",False
gregory wright,same,high,13,QUESTIONABLE,pass,pass,weak,weak,weak,weak,pass,pass,fail,weak,Confidence significantly overcalibrated - high confidence claimed with only Tier 2 news sources and no definitive linking evidence between the two positions,True
grenita lathan,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"Minor documentation issues: search phases not explicitly described, and district bios were misclassified as Tier 1 (though actual Tier 1 sources exist). These are procedural documentation gaps rather than substantive flaws in the conclusion.",False
grenita lathan,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"The reasoning lacks explicit documentation of the search methodology and evidence tier classification, but the evidence itself is strong and sufficient for the conclusion.",False
grenita lathan,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found - this appears to be a well-documented case with extensive corroborating evidence.,False
harry griffith,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,weak,pass,pass,"Timeline discrepancy between Chicago Tribune article (1994 start date) and position record (2003-2011) creates uncertainty about whether this is truly the same position record, though evidence clearly shows same person worked at both districts.",False
harry griffith,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor concern about not explicitly documenting the 4-phase search strategy, but overall evidence is very strong",False
heath morrison,same,high,10,QUESTIONABLE,pass,pass,fail,weak,weak,weak,weak,pass,fail,fail,"The reasoning relies too heavily on potentially self-published sources (personal website, about.me page) and doesn't provide clear evidence of full name verification at both districts. The career trajectory explanation for the 6-year gap lacks specific documentation.",True
henry eggert,same,high,15,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,pass,fail,weak,Confidence is overcalibrated - high confidence declared without the required Tier 1 evidence sources.,True
henry eggert,same,high,10,QUESTIONABLE,pass,pass,weak,weak,fail,pass,weak,weak,fail,fail,"The reasoning claims 2006-2016 tenure at Thedford but only provides evidence from 2009 onward, creating a 5-year evidence gap (2004-2009) that undermines the high confidence conclusion. The career progression narrative is overstated without proper documentation.",True
ian roberts,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None - this is a well-supported disambiguation with strong evidence from multiple independent sources.,False
ibrahim sel,same,high,17,PLAUSIBLE,pass,pass,weak,weak,pass,pass,pass,pass,weak,pass,Overconfident prediction based on mixed-quality evidence - treats network affiliation and timeline plausibility as strong supporting evidence when they are circumstantial.,True
ibrahim sel,same,high,9,SUSPECT,pass,pass,pass,weak,fail,fail,pass,fail,fail,fail,"Critical evidence gap: No direct proof that Ibrahim Sel worked at Harmony Science Academy during 2002-2005. TEA directory only shows him in 2008-2009, creating a 3-6 year unverified gap. The reasoning overstates the evidence quality and confidence level.",True
jake honea,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,"The main concern is the lack of systematic search methodology and incomplete full name verification at both districts. While the evidence found is strong, the reasoning doesn't demonstrate that the first position (Hardin ISD) was verified with the same rigor as the second position.",True
jake long,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,The reasoning is very strong with multiple independent sources including an explicit transition announcement. The only minor weakness is lack of explicit documentation of the search process phases.,False
james crisfield,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an excellent disambiguation with strong, direct evidence of career progression",False
james ellis,same,high,6,SUSPECT,pass,fail,weak,weak,fail,fail,pass,fail,fail,fail,"The reasoning has a critical timeline contradiction - claims resignation from Bledsoe County in July 2021 'perfectly times' with Orleans position starting 2020-2024, but Orleans allegedly started before the resignation. This suggests two different people or a serious logical error in the analysis.",True
james feil,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor documentation gap in search strategy, but evidence is exceptionally strong with explicit career connection documentation.",False
james feil,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, explicit evidence.",False
james hartman,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"Evidence tier classification lacks nuance - the IDEA Public Schools bio (current bio mentioning past role) is treated as strong evidence but may be Tier 3 rather than Tier 1. However, this doesn't materially weaken the overall conclusion given the other Tier 2 sources.",False
james jones,same,high,5,SUSPECT,pass,fail,fail,pass,fail,fail,weak,fail,fail,fail,"The reasoning fundamentally misinterprets multiple LinkedIn profiles for a very common name (James Jones) as evidence of the same person, when this is actually a red flag indicating potentially different individuals. No verification that ""James H. Jones"" was the same person at Clay City CUSD 10, making the identity connection unsupported.",True
james knapp,same,high,5,SUSPECT,pass,fail,weak,fail,fail,fail,pass,fail,fail,fail,"The reasoning is fundamentally flawed because it claims ""James E. Knapp"" and ""James Leroy Knapp"" are the same person, asserting that ""E"" stands for ""Leroy"" - which is factually impossible. The evidence shows two different individuals with different middle names. This is a clear case of forcing a ""same"" conclusion despite contradictory evidence.",True
james lombardo,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-supported disambiguation with strong evidence.,False
james merrill,same,high,14,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,fail,weak,fail,"The reasoning contains critical timeline inconsistencies that undermine the high confidence conclusion. The claim that Merrill served at Alamance-Burlington from 2000-2006 conflicts with evidence showing he won Superintendent of the Year there in 2005, and the 2021 record doesn't clearly align with the 2022 interim role start date.",True
james merrill,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns - this is a well-documented case with strong evidence.,False
james merrill,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The main weakness is lack of explicit documentation of the 4-phase search strategy, though the evidence found is strong and comprehensive.",False
james opiekun,same,high,17,PLAUSIBLE,pass,pass,pass,pass,pass,pass,weak,weak,weak,pass,"The first evidence citation appears problematic - the Long Island Press URL suggests an article about a superintendent resigning, but the reasoning claims it contains evidence about Opiekun starting the position. This citation discrepancy undermines confidence in the evidence chain.",True
james parla,same,high,18,CONFIRMED,pass,pass,weak,weak,pass,pass,pass,pass,pass,pass,"The main concern is the inconsistent evidence tier classification (Patch.com labeled both Tier 1 and Tier 2) and lack of explicit 4-phase search documentation. However, the underlying evidence appears strong and sufficient.",False
james stroder,same,high,4,SUSPECT,pass,pass,fail,fail,fail,fail,fail,fail,fail,fail,"The evidence actually shows two different individuals - James Stroder from Ingram ISD in Texas and James T. Stroder from Flagler County, Florida who later worked in Rogersville, TN. The reasoning incorrectly conflates these as the same person with a career progression.",True
james tracy,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,"Minor documentation gaps around search process and explicit full name verification, but overall strong evidence with explicit career transition documentation.",False
james white,same,high,13,QUESTIONABLE,pass,pass,pass,pass,pass,weak,pass,fail,fail,fail,The timeline overlap (2012-2014) showing concurrent superintendency in Kansas and Oklahoma is logically impossible and suggests either data error or that these are different individuals. The reasoning dismisses this critical red flag by calling it a 'transition period' without addressing how someone could hold two superintendent positions simultaneously in different states.,True
janet neufeld,same,high,17,PLAUSIBLE,pass,pass,weak,pass,weak,pass,pass,pass,weak,pass,"Limited independent confirmation of Twin Valley position - only one source actually verifies she was superintendent at Twin Valley USD 240, while the Pawhuska sources only mention she came from Kansas generally.",True
jason cline,same,high,18,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,weak,weak,pass,"The reasoning claims the USD 430 official announcement explicitly states Jason Cline was departing to take the superintendent role at Lakeview, but this characterization may overstate the announcement's content. One cited source (WIBW) suggests the position remained open after Cline's resignation, creating a potential discrepancy that isn't addressed. While the overall conclusion appears correct based on corroborating sources (Columbus Telegram Q&A and Civic IQ records), the reasoning may misrepresent the strength of the USD 430 evidence.",False
jean broadwater,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor concern about missing explicit search strategy documentation, but overall reasoning is sound and well-supported",False
jean claude brizard,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None. This is an exemplary disambiguation with strong, multi-source evidence supporting the conclusion.",False
jeff craig,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, corroborated evidence and sound reasoning.",False
jeff holmes,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,The reasoning is strong but could be more explicit about full name verification at both districts and search phase completeness.,False
jeff perry,same,high,10,QUESTIONABLE,pass,pass,weak,weak,pass,fail,pass,fail,fail,fail,The reasoning assumes 'Charlie Perry' is the same person as 'Dr. Jeff Perry' based on nickname speculation without proper full name verification across both districts. This is a fundamental flaw that undermines the entire conclusion.,True
jeffrey alstadt,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"Minor documentation gap - didn't explicitly describe the 4-phase search strategy, though evidence shows thorough investigation was conducted.",False
jeffrey mccartney,same,high,16,PLAUSIBLE,pass,pass,weak,pass,pass,weak,pass,weak,pass,weak,"Date discrepancy between original query (Princeton 2009-2013) and employment application (2008-2014) not resolved, and Wisconsin DPI document uses 'Jeff McCartney' rather than 'Jeffrey McCartney' without explicit verification.",True
jeffrey mccartney,same,high,18,CONFIRMED,pass,pass,pass,weak,pass,pass,pass,pass,pass,weak,"The Chicago Tribune article contains a geographic inaccuracy (referring to Will County when Winthrop Harbor SD 1 is located in Lake County, IL). While this doesn't invalidate the core claim about McCartney's career transition from Princeton, WI, it represents a source quality issue. The prediction remains well-supported by the PDF application/resume and other corroborating evidence.",False
jeffrey weaver,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,weak,pass,pass,pass,pass,"The middle initial discrepancy between Texas records (Jeffrey Weaver) and Ohio records (Jeffrey W. Weaver) is not definitively resolved. While the reasoning assumes this is a common naming variation, this could represent two different individuals with the same name.",True
jere hochman,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns found. This is a well-reasoned disambiguation with strong evidence.,False
jerry chambers,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,No significant concerns identified - this appears to be a very strong disambiguation with excellent evidence.,False
jerry jennex,same,high,17,PLAUSIBLE,pass,pass,pass,pass,pass,pass,pass,weak,weak,weak,"The reasoning contains a significant date discrepancy - the original position shows 2022 but evidence indicates the Trona tenure began in 2024. The explanation that 2022 represents hiring date is speculative and unsupported by evidence, potentially indicating timeline misinterpretation.",True
jerry parrett,same,high,16,PLAUSIBLE,pass,pass,weak,weak,weak,pass,pass,pass,weak,pass,"The LinkedIn profile may not provide the career history verification needed for Tier 1 evidence, and the Wikipedia entry appears to be current information rather than historical documentation of the 2009-2014 period. This weakens the effective corroboration from 5 claimed sources to potentially only 2 solid sources.",True
jerry schutz,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,The reasoning could be strengthened by explicitly documenting the search phases and removing the unnecessary Wikipedia URL that doesn't directly support the connection claim.,False
jerry schutz,same,high,13,QUESTIONABLE,pass,pass,weak,pass,weak,weak,fail,pass,weak,weak,"The primary concern is evidence URL quality - one URL is malformed with encoding issues, and there's no verification that the URLs actually contain the specific information claimed. This undermines the entire evidence base for the high confidence conclusion.",True
jerry schutz,same,high,11,QUESTIONABLE,pass,pass,weak,fail,weak,pass,weak,pass,fail,fail,The reasoning relies on Wikipedia as evidence and may not have truly independent Tier 1-2 sources. The high confidence appears overcalibrated given the questionable evidence quality and lack of systematic search methodology.,True
jim tankersley,same,high,10,QUESTIONABLE,pass,pass,pass,weak,fail,weak,pass,fail,fail,fail,"The reasoning commits a critical error: it assumes that because someone named Jim Tankersley worked at Leary ISD (TX) and someone named Jim Tankersley worked at Cossatot River (AR) with a plausible timeline, they must be the same person. However, NO evidence directly connects these two positions or confirms a career transition. The sources only prove employment at each district separately, not that it's the same individual. Additionally, there's a major contradiction in tenure dates (record says 2019, evidence shows resignation in 2021) that is not resolved. The confidence is significantly overcalibrated for the evidence presented.",True
joann andrees,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,"The reasoning is very strong but lacks explicit documentation of the systematic search process. While the evidence found is compelling, it's unclear whether all search phases were properly attempted or if the search was terminated early due to finding strong evidence.",False
joel applegate,same,high,11,QUESTIONABLE,pass,pass,pass,weak,fail,pass,pass,fail,fail,fail,"Critical timeline contradiction: USD 214 hiring news states Applegate was at Oberlin for 5 years before Feb 2022 (starting ~2017), but Position 1 shows him at Cozad until 2018. This indicates two different people named Joel Applegate with overlapping superintendent careers.",False
john allison,same,high,17,PLAUSIBLE,pass,pass,pass,weak,pass,pass,pass,weak,weak,pass,"The reasoning claims the District Management Journal article explicitly states John Allison's complete career trajectory including 'Olathe Public Schools (KS) from 2017-2021,' but it's unclear whether the article actually mentions Olathe or if the Olathe connection is inferred from other sources. If the DMJ article only mentions Mt. Lebanon and Wichita, then the direct connection between Mt. Lebanon and Olathe relies on the KSHB article and potentially an assumption that the Wichita superintendent moved to Olathe. The reasoning would be stronger if it explicitly stated what each source confirms.",False
john allison,same,high,19,CONFIRMED,pass,pass,weak,pass,pass,pass,pass,pass,pass,pass,None identified - this is a well-supported disambiguation with strong evidence,False
john allison,same,high,20,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,"None - this is an exemplary disambiguation with strong, multi-source evidence showing clear career progression.",False
john barrett,same,high,19,CONFIRMED,pass,pass,pass,pass,pass,pass,pass,pass,pass,weak,"The LinkedIn profile evidence, while strong, lacks specific details about the Kansas career history in the reasoning description. More explicit confirmation of the career progression details would strengthen this case.",False
john bell,same,high,16,PLAUSIBLE,pass,pass,weak,pass,pass,pass,pass,weak,weak,weak,"Significant date discrepancies (1-2 year gaps) between the provided records and the bio evidence are dismissed without adequate investigation. The bio shows 2012-2022 at Delaware Valley and 2022-Present at Port Jervis, while records show 2012-2021 and 2023-2024 respectively. This is more than just fiscal vs calendar year differences.",True
john brazell,same,high,12,QUESTIONABLE,pass,pass,pass,pass,pass,pass,fail,fail,fail,fail,"The primary concern is the timeline discrepancy between the evidence cited and the position dates provided. The AP news article states he was superintendent at Freeman until 2008, but Position 1 is listed as 2001-2006. This contradiction undermines the high confidence conclusion and suggests the evidence may not fully support the claim.",True
john deiter,same,high,7,SUSPECT,pass,pass,weak,fail,fail,fail,weak,weak,fail,fail,"All evidence comes from the hiring district only, with no independent corroboration. The reasoning claims Tier 1 evidence but fails to meet the standard of multiple independent sources. Additionally, there's a significant timeline inconsistency between the claimed 10-year tenure and the actual position dates shown.",True
john eyerly,same,high,18,CONFIRMED,pass,pass,weak,pass,pass,pass,weak,pass,pass,pass,"The main concern is the inclusion of an irrelevant URL (twincities.com article about a private school) which raises questions about evidence quality control. Additionally, Phase 4 of the search strategy was not addressed.",True
john fitzsimons,same,high,11,QUESTIONABLE,pass,pass,weak,pass,pass,pass,fail,fail,fail,fail,"The provided URLs do not contain the claimed evidence about Dr. John T. Fitzsimons. This appears to be a case of evidence fabrication or hallucination, where URLs are cited but don't actually support the conclusions. The Patch.com article is about Parsippany district, not Weehawken, and doesn't mention Fitzsimons. The liherald articles don't name Fitzsimons. The nj.com articles don't reference John Fitzsimons either.",True
john goetz,same,high,7,SUSPECT,pass,weak,fail,fail,weak,fail,weak,weak,fail,weak,"The reasoning makes strong claims about 'definitive evidence' and 'multiple sources' but fails to demonstrate the actual evidence or verification process. High confidence is claimed without showing proper evidence tier classification, full name verification at both districts, or systematic search methodology.",True
